Confound,TP,Model,Accuracy Baseline-CB,Accuracy CB,Accuracy Diff CB - BL
BIS_BIS Total,FU3,Linear Regression,0.6238911744031395,0.5929441876577173,-0.0309469867454221
BIS_BIS Total,FU3,Linear SVM,0.6543363102612988,0.6181038013987853,-0.0362325088625135
BIS_BIS Total,FU3,Gradient Boosting,0.6780094617761439,0.6449496948058844,-0.0330597669702594
BIS_BIS Total,FU3,Kernel SVM,0.6929384352417026,0.6670054692201494,-0.0259329660215532
ESPAD_first_drunk_fd,FU3,Linear Regression,0.6238911744031395,0.605563913766859,-0.0183272606362804
ESPAD_first_drunk_fd,FU3,Linear SVM,0.6543363102612988,0.5948247852009931,-0.0595115250603056
ESPAD_first_drunk_fd,FU3,Gradient Boosting,0.6780094617761439,0.6701715104959467,-0.0078379512801971
ESPAD_first_drunk_fd,FU3,Kernel SVM,0.6929384352417026,0.6734195395032946,-0.019518895738408
PSS_PSS_total,FU3,Linear Regression,0.6238911744031395,0.5949014630100686,-0.0289897113930708
PSS_PSS_total,FU3,Linear SVM,0.6543363102612988,0.6139186975013022,-0.0404176127599965
PSS_PSS_total,FU3,Gradient Boosting,0.6780094617761439,0.6546184947128344,-0.0233909670633094
PSS_PSS_total,FU3,Kernel SVM,0.6929384352417026,0.6758241758241759,-0.0171142594175267
NEO_Extroversion mean,FU3,Linear Regression,0.6238911744031395,0.5909262274770788,-0.0329649469260606
NEO_Extroversion mean,FU3,Linear SVM,0.6543363102612988,0.6123179455151383,-0.0420183647461605
NEO_Extroversion mean,FU3,Gradient Boosting,0.6780094617761439,0.6553338803396327,-0.0226755814365111
NEO_Extroversion mean,FU3,Kernel SVM,0.6929384352417026,0.6720734109424861,-0.0208650242992165
NEO_Conscientiousness mean,FU3,Linear Regression,0.6238911744031395,0.6008837228119327,-0.0230074515912067
NEO_Conscientiousness mean,FU3,Linear SVM,0.6543363102612988,0.598099616674168,-0.0562366935871307
NEO_Conscientiousness mean,FU3,Gradient Boosting,0.6780094617761439,0.6567986603824156,-0.0212108013937282
NEO_Conscientiousness mean,FU3,Kernel SVM,0.6929384352417026,0.6696915314322125,-0.0232469038094901
BIS_BIS Total,FU2,Linear Regression,0.6504929602503022,0.6534315224347579,0.0029385621844556
BIS_BIS Total,FU2,Linear SVM,0.6748396501457725,0.6477255919789519,-0.0271140581668206
BIS_BIS Total,FU2,Gradient Boosting,0.7136526701272843,0.6755535803171444,-0.0380990898101398
BIS_BIS Total,FU2,Kernel SVM,0.7379595392163835,0.7331069117542487,-0.0048526274621347
LEQ_Overall mean frequency,FU3,Linear Regression,0.6238911744031395,0.6223371370920843,-0.0015540373110551
LEQ_Overall mean frequency,FU3,Linear SVM,0.6543363102612988,0.6226004207481427,-0.031735889513156
LEQ_Overall mean frequency,FU3,Gradient Boosting,0.6780094617761439,0.6742229181311098,-0.003786543645034
LEQ_Overall mean frequency,FU3,Kernel SVM,0.6929384352417026,0.6758987675922788,-0.0170396676494237
LEQ_Family mean frequency,FU3,Linear Regression,0.6238911744031395,0.6090642905185014,-0.014826883884638
LEQ_Family mean frequency,FU3,Linear SVM,0.6543363102612988,0.5766442427797697,-0.0776920674815291
LEQ_Family mean frequency,FU3,Gradient Boosting,0.6780094617761439,0.6595889614297346,-0.0184205003464092
LEQ_Family mean frequency,FU3,Kernel SVM,0.6929384352417026,0.682031411984242,-0.0109070232574606
LEQ_Autonomy mean frequency,FU3,Linear Regression,0.6238911744031395,0.6276285380519158,0.0037373636487763
LEQ_Autonomy mean frequency,FU3,Linear SVM,0.6543363102612988,0.6044308142386835,-0.0499054960226152
LEQ_Autonomy mean frequency,FU3,Gradient Boosting,0.6780094617761439,0.686098875813556,0.0080894140374121
LEQ_Autonomy mean frequency,FU3,Kernel SVM,0.6929384352417026,0.6732567650940867,-0.0196816701476159
LEQ_Distress mean frequency,FU3,Linear Regression,0.6238911744031395,0.6291430670112216,0.0052518926080821
LEQ_Distress mean frequency,FU3,Linear SVM,0.6543363102612988,0.6293872602317149,-0.0249490500295839
LEQ_Distress mean frequency,FU3,Gradient Boosting,0.6780094617761439,0.6786620765336826,0.0006526147575387
LEQ_Distress mean frequency,FU3,Kernel SVM,0.6929384352417026,0.6921946668150073,-0.0007437684266953
LEQ_Overall valence,FU3,Linear Regression,0.6238911744031395,0.5995661666911092,-0.0243250077120302
LEQ_Overall valence,FU3,Linear SVM,0.6543363102612988,0.6084755212573896,-0.0458607890039092
LEQ_Overall valence,FU3,Gradient Boosting,0.6780094617761439,0.6790757447798406,0.0010662830036967
LEQ_Overall valence,FU3,Kernel SVM,0.6929384352417026,0.682870063668499,-0.0100683715732036
LEQ_Family valence,FU3,Linear Regression,0.6238911744031395,0.5985610742226021,-0.0253301001805373
LEQ_Family valence,FU3,Linear SVM,0.6543363102612988,0.5880867464335021,-0.0662495638277966
LEQ_Family valence,FU3,Gradient Boosting,0.6780094617761439,0.6614866265809661,-0.0165228351951777
LEQ_Family valence,FU3,Kernel SVM,0.6929384352417026,0.6805007004040599,-0.0124377348376427
LEQ_Accident valence,FU3,Linear Regression,0.6238911744031395,0.6071537298412586,-0.0167374445618808
LEQ_Accident valence,FU3,Linear SVM,0.6543363102612988,0.616645153052194,-0.0376911572091047
LEQ_Accident valence,FU3,Gradient Boosting,0.6780094617761439,0.6735983701066536,-0.0044110916694902
LEQ_Accident valence,FU3,Kernel SVM,0.6929384352417026,0.6832738706300603,-0.0096645646116423
LEQ_Sexuality valence,FU3,Linear Regression,0.6238911744031395,0.6295396044360609,0.0056484300329214
LEQ_Sexuality valence,FU3,Linear SVM,0.6543363102612988,0.6220530562396646,-0.0322832540216342
LEQ_Sexuality valence,FU3,Gradient Boosting,0.6780094617761439,0.6883536332512402,0.0103441714750963
LEQ_Sexuality valence,FU3,Kernel SVM,0.6929384352417026,0.6969152511087623,0.0039768158670596
LEQ_Autonomy valence,FU3,Linear Regression,0.6238911744031395,0.6124673186914328,-0.0114238557117066
LEQ_Autonomy valence,FU3,Linear SVM,0.6543363102612988,0.6228897483096747,-0.0314465619516241
LEQ_Autonomy valence,FU3,Gradient Boosting,0.6780094617761439,0.6706867626161229,-0.0073226991600209
LEQ_Autonomy valence,FU3,Kernel SVM,0.6929384352417026,0.6923413850300643,-0.0005970502116383
LEQ_Devience valence,FU3,Linear Regression,0.6238911744031395,0.5875560070394401,-0.0363351673636993
LEQ_Devience valence,FU3,Linear SVM,0.6543363102612988,0.6001549359522207,-0.0541813743090781
LEQ_Devience valence,FU3,Gradient Boosting,0.6780094617761439,0.6703198090450736,-0.0076896527310702
LEQ_Devience valence,FU3,Kernel SVM,0.6929384352417026,0.674648027995934,-0.0182904072457685
LEQ_Relocation valence,FU3,Linear Regression,0.6238911744031395,0.6147402183642404,-0.009150956038899
LEQ_Relocation valence,FU3,Linear SVM,0.6543363102612988,0.6375745285547403,-0.0167617817065585
