,Alc-lastmntFU3,Alcohol_problem_indexFU3,Age_first_drunkFU3,Sensation_seeking,Alc-last12mntFU3,Accident_val,Drug_abuse_screening_parent,Eating_behavior_uncontrolled_eatingFU3,Conformity_drinking_motiveFU3,Smoking_lifetimeFU3,Neuroticism,Autonomy_freq,Sexuality_freqFU3,y-label = Binge
Alc-lastmntFU3,1.0,58.19,58.61,0.08,43.23,1.26,17.39,0.69,47.77,0.08,0.08,0.03,52.69,3.37
Alcohol_problem_indexFU3,58.19,1.0,212.14,43.4,180.31,33.57,9.04,58.49,0.37,50.66,43.4,44.57,200.1,74.41
Age_first_drunkFU3,58.61,212.14,1.0,62.21,1.04,77.16,146.95,45.25,232.46,53.33,62.21,60.67,0.14,32.37
Sensation_seeking,0.08,43.4,62.21,1.0,46.96,0.71,15.05,1.22,43.65,0.31,0.0,0.01,56.82,4.45
Alc-last12mntFU3,43.23,180.31,1.04,46.96,1.0,60.16,122.22,32.64,199.61,39.51,47.15,45.82,0.42,21.9
Accident_val,1.26,33.57,77.16,0.71,60.16,1.0,9.04,3.74,32.4,1.92,0.7,0.86,70.15,8.62
Drug_abuse_screening_parent,17.39,9.04,146.95,15.05,122.22,9.04,1.0,22.96,6.46,18.08,13.78,14.45,126.8,33.42
Eating_behavior_uncontrolled_eatingFU3,0.69,58.49,45.25,1.22,32.64,3.74,22.96,1.0,61.25,0.31,1.24,1.04,41.23,1.02
Conformity_drinking_motiveFU3,47.77,0.37,232.46,43.65,199.61,32.4,6.46,61.25,1.0,43.07,36.38,37.45,184.61,65.21
Smoking_lifetimeFU3,0.08,50.66,53.33,0.31,39.51,1.92,18.08,0.31,43.07,1.0,0.31,0.21,48.72,2.43
Neuroticism,0.08,43.4,62.21,0.0,47.15,0.7,13.78,1.24,36.38,0.31,1.0,0.01,56.82,4.45
Autonomy_freq,0.03,44.57,60.67,0.01,45.82,0.86,14.45,1.04,37.45,0.21,0.01,1.0,55.43,4.08
Sexuality_freqFU3,52.69,200.1,0.14,56.82,0.42,70.15,126.8,41.23,184.61,48.72,56.82,55.43,1.0,28.33
y-label = Binge,3.37,74.41,32.37,4.45,21.9,8.62,33.42,1.02,65.21,2.43,4.45,4.08,28.33,1.0
