Confound,Conf_time_point,Model,h5name,n_samples BL,Accuracy BL,Std-Dev BL,n_samples CB,Accuracy CB,Std-Dev CB,Accuracy Diff CB - BL,Std-Dev Diff CB - BL,h5cat,category,abs_diff,rank
Alc-last12mntFU3,BL,SVM-rbf,posthoc-cc3-h5bl-Alc-last12mntFU3,620,69.58382756319963,3.2404227443551163,620,62.96752600884672,7.762319677190659,-6.616301554352921,7.053590146803152,h5bl,Alcohol,6.616301554352921,0
Alc-lastmntFU3,BL,SVM-rbf,posthoc-cc3-h5bl-Alc-lastmntFU3,620,69.58382756319963,3.2404227443551163,620,63.220355474831344,5.3752836837804185,-6.363472088368294,4.768245485420295,h5bl,Alcohol,6.363472088368294,1
AgreeablenessFU3,BL,SVM-rbf,posthoc-cc3-h5bl-AgreeablenessFU3,620,69.58382756319963,3.2404227443551163,620,65.05348493834482,3.128459134396012,-4.530342624854811,1.938524130391626,h5bl,Personality,4.530342624854811,2
Smoking_lifetimeFU3,BL,SVM-rbf,posthoc-cc3-h5bl-Smoking_lifetimeFU3,620,69.58382756319963,3.2404227443551163,620,65.33528863024192,5.630908225133789,-4.2485389329577234,4.791976035420861,h5bl,Addiction-related,4.2485389329577234,3
Sensation_seekingFU3,BL,SVM-rbf,posthoc-cc3-h5bl-Sensation_seekingFU3,620,69.58382756319963,3.2404227443551163,620,65.35394580769515,3.263564274822406,-4.229881755504483,2.4421170155788468,h5bl,Personality,4.229881755504483,4
Enhancement_drinking_motiveFU3,BL,SVM-rbf,posthoc-cc3-h5bl-Enhancement_drinking_motiveFU3,620,69.58382756319963,3.2404227443551163,620,65.37263387451503,5.864511396354992,-4.211193688684611,4.522625622991052,h5bl,Alcohol,4.211193688684611,5
SomatizationFU3,BL,SVM-rbf,posthoc-cc3-h5bl-SomatizationFU3,620,69.58382756319963,3.2404227443551163,620,65.43452072058714,3.396866718853569,-4.149306842612499,1.760025155381698,h5bl,Comorbid,4.149306842612499,6
Anxiety_sensitivityFU3,BL,SVM-rbf,posthoc-cc3-h5bl-Anxiety_sensitivityFU3,620,69.58382756319963,3.2404227443551163,620,65.49047680826352,4.34200370845747,-4.09335075493612,3.627081683847006,h5bl,Personality,4.09335075493612,7
Anxiety_sensitivity,BL,SVM-rbf,posthoc-cc3-h5bl-Anxiety_sensitivity,620,69.58382756319963,3.2404227443551163,620,65.51376739071343,6.75743184131945,-4.070060172486212,4.8471042294864315,h5bl,Personality,4.070060172486212,8
Alcohol_problem_indexFU3,BL,SVM-rbf,posthoc-cc3-h5bl-Alcohol_problem_indexFU3,620,69.58382756319963,3.2404227443551163,620,65.54706612795611,7.121268516556076,-4.03676143524353,5.205747796223141,h5bl,Alcohol,4.03676143524353,9
Age_first_drunkFU3,BL,SVM-rbf,posthoc-cc3-h5bl-Age_first_drunkFU3,620,69.58382756319963,3.2404227443551163,620,65.88054773024933,3.033295623085144,-3.7032798329503014,1.968103249249054,h5bl,Alcohol,3.7032798329503014,10
Coping_drinking_motiveFU3,BL,SVM-rbf,posthoc-cc3-h5bl-Coping_drinking_motiveFU3,620,69.58382756319963,3.2404227443551163,620,65.93085106382979,5.522464441902401,-3.652976499369842,4.588756806951525,h5bl,Alcohol,3.652976499369842,11
Impulsivity_SURPS,BL,SVM-rbf,posthoc-cc3-h5bl-Impulsivity_SURPS,620,69.58382756319963,3.2404227443551163,620,65.98785738997208,3.9399353530626615,-3.5959701732275695,3.0358302278213922,h5bl,Personality,3.5959701732275695,12
