,Confound,Conf_time_point,Model,h5name,Accuracy BL,Std-Dev BL,Accuracy CB,Std-Dev CB,Accuracy Diff CB - BL,Std-Dev Diff CB - BL,h5cat,category
199,Alcohol_problem_indexFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Alcohol_problem_indexFU3,0.651323846888363,0.048868713202470694,0.583513669199153,0.04255828302838531,-0.06781017768920994,-6.582036503134857e-16,h5causal0,Alcohol
355,Eating_behavior_uncontrolled_eatingFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Eating_behavior_uncontrolled_eatingFU3,0.651323846888363,0.048868713202470694,0.5851219798264132,0.061293740734869095,-0.06620186706194975,1.5543122344752192e-15,h5causal0,Addiction-related
243,Alc-lastmntFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Alc-lastmntFU3,0.651323846888363,0.048868713202470694,0.5862770893012829,0.0427633100856455,-0.06504675758708012,-3.2037864424897375e-15,h5causal0,Alcohol
415,Psychiatric_symptoms_PHQFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Psychiatric_symptoms_PHQFU3,0.651323846888363,0.048868713202470694,0.5885675883256527,0.07086157087870415,-0.06275625856271028,2.4107699963289115e-15,h5causal0,Comorbid
203,Smoking_lifetimeFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Smoking_lifetimeFU3,0.651323846888363,0.048868713202470694,0.5956379046096788,0.0831855213912794,-0.055685942278684175,-8.247371040072592e-16,h5causal0,Addiction-related
427,Eating_behavior_cog_retrstraintFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Eating_behavior_cog_retrstraintFU3,0.651323846888363,0.048868713202470694,0.5997776853688184,0.09057000401240618,-0.05154616151954461,-1.1102230246251565e-15,h5causal0,Addiction-related
311,Alc_lastmnt_TLFBFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Alc_lastmnt_TLFBFU3,0.651323846888363,0.048868713202470694,0.602500195480491,0.06764973816548424,-0.048823651407871926,-1.9508204575556324e-15,h5causal0,Alcohol
455,Sexuality_freqFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Sexuality_freqFU3,0.651323846888363,0.048868713202470694,0.6079329617636068,0.045155971597506304,-0.043390885124756196,3.774758283725532e-15,h5causal0,Biographic
135,Sensation_seeking,BL,SVM-rbf,posthoc-cc2-h5causal0-Sensation_seeking,0.651323846888363,0.048868713202470694,0.610713031579967,0.04798340942773469,-0.04061081530839594,-1.8397981550931167e-15,h5causal0,Personality
107,Conformity_drinking_motiveFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Conformity_drinking_motiveFU3,0.651323846888363,0.048868713202470694,0.6109443977387526,0.04596744081118184,-0.040379449149610336,-3.1720657846433046e-15,h5causal0,Alcohol
83,Alc-last12mntFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Alc-last12mntFU3,0.651323846888363,0.048868713202470694,0.6137294408463764,0.045460283372053704,-0.037594406041986606,-3.806478941571965e-15,h5causal0,Alcohol
11,Eating_behavior_emotional_eatingFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Eating_behavior_emotional_eatingFU3,0.651323846888363,0.048868713202470694,0.6162326999765424,0.07403787819678188,-0.03509114691182058,-2.759697232639675e-15,h5causal0,Addiction-related
435,Conflict_tactics_parent_mean_psych_aggr,BL,SVM-rbf,posthoc-cc2-h5causal0-Conflict_tactics_parent_mean_psych_aggr,0.651323846888363,0.048868713202470694,0.6163393314314973,0.08138043188493582,-0.03498451545686565,-1.1736643403180226e-15,h5causal0,Familial risk
235,Alc_lastmnt_TLFB,BL,SVM-rbf,posthoc-cc2-h5causal0-Alc_lastmnt_TLFB,0.651323846888363,0.048868713202470694,0.6194838848064654,0.054181609766765296,-0.031839962081897544,-6.819941436983105e-16,h5causal0,Alcohol
475,Eating_disorder_weight_concernFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Eating_disorder_weight_concernFU3,0.651323846888363,0.048868713202470694,0.6200099161921822,0.06424715890662966,-0.031313930696180825,4.440892098500626e-16,h5causal0,Addiction-related
451,Openness,BL,SVM-rbf,posthoc-cc2-h5causal0-Openness,0.651323846888363,0.048868713202470694,0.6201108222277577,0.06357178718536306,-0.03121302466060527,-1.6494742080145183e-15,h5causal0,Personality
35,NeuroticismFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-NeuroticismFU3,0.651323846888363,0.048868713202470694,0.6221118151561699,0.060535624978839866,-0.02921203173219311,2.186742850288478e-15,h5causal0,Personality
239,Fam_hist_psych_disorders_parent,BL,SVM-rbf,posthoc-cc2-h5causal0-Fam_hist_psych_disorders_parent,0.651323846888363,0.048868713202470694,0.6224182131440197,0.05223423063531729,-0.028905633744343295,-4.6946573612720904e-15,h5causal0,Familial risk
39,Video_gaming_addictionFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Video_gaming_addictionFU3,0.651323846888363,0.048868713202470694,0.6230354210649777,0.06557755938846895,-0.02828842582338531,6.344131569286608e-17,h5causal0,Addiction-related
395,Drugs_lastmnt_TLFBFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Drugs_lastmnt_TLFBFU3,0.651323846888363,0.048868713202470694,0.6231103552532123,0.06446926763130424,-0.028213491635150634,-1.1102230246251565e-15,h5causal0,Addiction-related
479,Eating_disorder_restraintFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Eating_disorder_restraintFU3,0.651323846888363,0.048868713202470694,0.6232886571556522,0.07682249583197018,-0.028035189732710797,5.075305255429287e-16,h5causal0,Addiction-related
459,Agreeableness,BL,SVM-rbf,posthoc-cc2-h5causal0-Agreeableness,0.651323846888363,0.048868713202470694,0.626840766457702,0.0561848092262375,-0.024483080430660942,-5.6462770966650815e-15,h5causal0,Personality
383,Deviance_freqFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Deviance_freqFU3,0.651323846888363,0.048868713202470694,0.6280791159823418,0.07083629613470817,-0.023244730906021194,-9.912705577010327e-16,h5causal0,Biographic
327,Family_valFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Family_valFU3,0.651323846888363,0.048868713202470694,0.6293544408463764,0.06344069865625598,-0.021969406041986606,-3.6478756523398e-15,h5causal0,Biographic
215,Relocation_valFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Relocation_valFU3,0.651323846888363,0.048868713202470694,0.6302107118639376,0.037454092685431185,-0.021113135024425356,1.2688263138573218e-15,h5causal0,Biographic
187,Distress_valFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Distress_valFU3,0.651323846888363,0.048868713202470694,0.6307017703187058,0.03896362782926053,-0.0206220765696572,-2.6010939434075094e-15,h5causal0,Biographic
159,Eating_disorder_shape_concernFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Eating_disorder_shape_concernFU3,0.651323846888363,0.048868713202470694,0.6324797944256072,0.041895573470041185,-0.018844052462755778,-1.2688263138573218e-15,h5causal0,Addiction-related
119,Hopelessness,BL,SVM-rbf,posthoc-cc2-h5causal0-Hopelessness,0.651323846888363,0.048868713202470694,0.6328199599368954,0.05861262509896255,-0.01850388695146754,-2.220446049250313e-15,h5causal0,Personality
27,Enhancement_drinking_motiveFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Enhancement_drinking_motiveFU3,0.651323846888363,0.048868713202470694,0.6333447502802342,0.06556001650588891,-0.017979096608128797,-2.0301221021717147e-15,h5causal0,Alcohol
307,Tobacco_lastmnt_TLFBFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Tobacco_lastmnt_TLFBFU3,0.651323846888363,0.048868713202470694,0.6335099173769125,0.03112802212135471,-0.017813929511450444,-5.83660104374368e-15,h5causal0,Addiction-related
139,Age_first_drunkFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Age_first_drunkFU3,0.651323846888363,0.048868713202470694,0.6336516013215322,0.039026312648069654,-0.01767224556683078,-1.2688263138573218e-15,h5causal0,Alcohol
163,StressFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-StressFU3,0.651323846888363,0.048868713202470694,0.6345649550142637,0.02451155838252347,-0.01675889187409929,1.609823385706477e-15,h5causal0,Comorbid
375,Accident_val,BL,SVM-rbf,posthoc-cc2-h5causal0-Accident_val,0.651323846888363,0.048868713202470694,0.634776397117987,0.10013641028872772,-0.016547449770376033,-3.806478941571965e-16,h5causal0,Biographic
331,AUDIT_parent,BL,SVM-rbf,posthoc-cc2-h5causal0-AUDIT_parent,0.651323846888363,0.048868713202470694,0.6348326292882743,0.0832801660177249,-0.016491217600088648,1.7129155237073844e-15,h5causal0,Familial risk
111,Distress_freqFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Distress_freqFU3,0.651323846888363,0.048868713202470694,0.6349932882190946,0.06321377183125182,-0.016330558669268358,-4.440892098500626e-16,h5causal0,Biographic
443,Novelty_seeking,BL,SVM-rbf,posthoc-cc2-h5causal0-Novelty_seeking,0.651323846888363,0.048868713202470694,0.6355606758832565,0.06726646630368731,-0.01576317100510649,-1.0110959688550533e-15,h5causal0,Personality
343,Drug_abuse_screening_parent,BL,SVM-rbf,posthoc-cc2-h5causal0-Drug_abuse_screening_parent,0.651323846888363,0.048868713202470694,0.635680683563748,0.057033711376736566,-0.015643163324615017,2.7755575615628914e-15,h5causal0,Familial risk
123,Coping_drinking_motiveFU3,BL,SVM-rbf,posthoc-cc2-h5causal0-Coping_drinking_motiveFU3,0.651323846888363,0.048868713202470694,0.635695603437539,0.06301940589252805,-0.01562824345082403,-3.1403451267968712e-15,h5causal0,Alcohol
47,Extroversion,BL,SVM-rbf,posthoc-cc2-h5causal0-Extroversion,0.651323846888363,0.048868713202470694,0.6360742222637384,0.06311787141973677,-0.015249624624624536,-3.1720657846433046e-15,h5causal0,Personality
