Confound,Conf_time_point,Model,h5name,Accuracy BL,Std-Dev BL,Accuracy CB,Std-Dev CB,Accuracy Diff CB - BL,Std-Dev Diff CB - BL,h5cat,category
Alc-lastmntFU3,BL,SVM-rbf,posthoc-cc2-h5causal1-Alc-lastmntFU3,0.6767246110451686,0.028108586929134663,0.6003573662110248,0.04837663502770697,-0.07636724483414381,0.04235772537524468,h5causal1,Alcohol
Alc_lastmnt_TLFBFU3,BL,SVM-rbf,posthoc-cc2-h5causal1-Alc_lastmnt_TLFBFU3,0.6767246110451686,0.028108586929134663,0.6061202828444208,0.05989168422545121,-0.0706043282007478,0.06365148425968165,h5causal1,Alcohol
Alc-last12mntFU3,BL,SVM-rbf,posthoc-cc2-h5causal1-Alc-last12mntFU3,0.6767246110451686,0.028108586929134663,0.6068478704802747,0.033666757187028835,-0.0698767405648939,0.04735291647857473,h5causal1,Alcohol
Alcohol_problem_indexFU3,BL,SVM-rbf,posthoc-cc2-h5causal1-Alcohol_problem_indexFU3,0.6767246110451686,0.028108586929134663,0.6320506438973338,0.03736765120524913,-0.04467396714783478,0.04177799252195793,h5causal1,Alcohol
RuminationFU3,BL,SVM-rbf,posthoc-cc2-h5causal1-RuminationFU3,0.6767246110451686,0.028108586929134663,0.6343305980524026,0.051431451867387054,-0.04239401299276602,0.07418647977353511,h5causal1,Comorbid
Eating_disorder_restraintFU3,BL,SVM-rbf,posthoc-cc2-h5causal1-Eating_disorder_restraintFU3,0.6767246110451686,0.028108586929134663,0.6355867145340829,0.07027133151492555,-0.04113789651108568,0.09147509277928893,h5causal1,Addiction-related
Eating_behavior_emotional_eatingFU3,BL,SVM-rbf,posthoc-cc2-h5causal1-Eating_behavior_emotional_eatingFU3,0.6767246110451686,0.028108586929134663,0.6363502062750184,0.06459126936798508,-0.040374404770150196,0.07407891694576803,h5causal1,Addiction-related
SomatizationFU3,BL,SVM-rbf,posthoc-cc2-h5causal1-SomatizationFU3,0.6767246110451686,0.028108586929134663,0.6371351480374037,0.058644647133054846,-0.03958946300776489,0.0726638507382892,h5causal1,Comorbid
Eating_behavior_cog_retrstraintFU3,BL,SVM-rbf,posthoc-cc2-h5causal1-Eating_behavior_cog_retrstraintFU3,0.6767246110451686,0.028108586929134663,0.637281750063705,0.0442488371479864,-0.039442860981463546,0.06434412238134371,h5causal1,Addiction-related
Interpers_perspective_takingFU3,BL,SVM-rbf,posthoc-cc2-h5causal1-Interpers_perspective_takingFU3,0.6767246110451686,0.028108586929134663,0.6385648806701438,0.051335525216389545,-0.038159730375024736,0.06833169069847714,h5causal1,Social
Video_gaming_addictionFU3,BL,SVM-rbf,posthoc-cc2-h5causal1-Video_gaming_addictionFU3,0.6767246110451686,0.028108586929134663,0.6405328798185942,0.06160318965008394,-0.036191731226574375,0.07789843390361656,h5causal1,Addiction-related
Eating_behavior_uncontrolled_eatingFU3,BL,SVM-rbf,posthoc-cc2-h5causal1-Eating_behavior_uncontrolled_eatingFU3,0.6767246110451686,0.028108586929134663,0.6424608819345661,0.0927887752535302,-0.03426372911060249,0.10901264536729668,h5causal1,Addiction-related
Eating_disorder_eat_concernFU3,BL,SVM-rbf,posthoc-cc2-h5causal1-Eating_disorder_eat_concernFU3,0.6767246110451686,0.028108586929134663,0.6467435480593375,0.07400168962918356,-0.02998106298583103,0.08636645867956637,h5causal1,Addiction-related
Drugs_lastmnt_TLFBFU3,BL,SVM-rbf,posthoc-cc2-h5causal1-Drugs_lastmnt_TLFBFU3,0.6767246110451686,0.028108586929134663,0.647082797082797,0.040404337906004374,-0.029641813962371533,0.0501043355256526,h5causal1,Addiction-related
PBQ_unpres_meds,BL,SVM-rbf,posthoc-cc2-h5causal1-PBQ_unpres_meds,0.6767246110451686,0.028108586929134663,0.6471672539983734,0.04728431283447867,-0.029557357046795185,0.06337550358820206,h5causal1,Familial risk
