Confound,Conf_time_point,Model,h5name,n_samples BL,Accuracy BL,Std-Dev BL,n_samples CB,Accuracy CB,Std-Dev CB,Accuracy Diff CB - BL,Std-Dev Diff CB - BL,h5cat,category
Alc-lastmntFU3,BL,SVM-rbf,posthoc-cc3-h5causal1-Alc-lastmntFU3,565,0.6893054970581103,0.03731468072745593,565,0.596266799402688,0.0569986588463633,-0.09303869765542228,0.05603327178578885,h5causal1,Alcohol
Alc-last12mntFU3,BL,SVM-rbf,posthoc-cc3-h5causal1-Alc-last12mntFU3,565,0.6893054970581103,0.03731468072745593,565,0.6122594159615067,0.039076583719411404,-0.0770460810966036,0.056143158440317725,h5causal1,Alcohol
Alcohol_problem_indexFU3,BL,SVM-rbf,posthoc-cc3-h5causal1-Alcohol_problem_indexFU3,565,0.6893054970581103,0.03731468072745593,565,0.6329930377404244,0.05560809850318031,-0.056312459317685915,0.05590645154449711,h5causal1,Alcohol
Smoking_lifetimeFU3,BL,SVM-rbf,posthoc-cc3-h5causal1-Smoking_lifetimeFU3,565,0.6893054970581103,0.03731468072745593,565,0.6347476420211612,0.06275085221169512,-0.0545578550369491,0.040197255212638984,h5causal1,Addiction-related
Age_first_drunkFU3,BL,SVM-rbf,posthoc-cc3-h5causal1-Age_first_drunkFU3,565,0.6893054970581103,0.03731468072745593,565,0.6386159717170169,0.06865886363180765,-0.05068952534109339,0.05463317823587404,h5causal1,Alcohol
Sensation_seeking,BL,SVM-rbf,posthoc-cc3-h5causal1-Sensation_seeking,565,0.6893054970581103,0.03731468072745593,565,0.6421175224311113,0.037507522235812094,-0.047187974626998974,0.03913326534048577,h5causal1,Personality
StressFU3,BL,SVM-rbf,posthoc-cc3-h5causal1-StressFU3,565,0.6893054970581103,0.03731468072745593,565,0.6479416344398923,0.0332849993821399,-0.041363862618218006,0.017009498713067773,h5causal1,Comorbid
Enhancement_drinking_motiveFU3,BL,SVM-rbf,posthoc-cc3-h5causal1-Enhancement_drinking_motiveFU3,565,0.6893054970581103,0.03731468072745593,565,0.6481388240099041,0.049549770368116454,-0.041166673048206204,0.06061481295071402,h5causal1,Alcohol
Coping_drinking_motiveFU3,BL,SVM-rbf,posthoc-cc3-h5causal1-Coping_drinking_motiveFU3,565,0.6893054970581103,0.03731468072745593,565,0.6490440453855087,0.05892336140310468,-0.040261451672601534,0.03325324241181947,h5causal1,Alcohol
Alc_lastmnt_TLFBFU3,BL,SVM-rbf,posthoc-cc3-h5causal1-Alc_lastmnt_TLFBFU3,565,0.6893054970581103,0.03731468072745593,565,0.6498332822810176,0.050809468938855004,-0.03947221477709273,0.04684214982499893,h5causal1,Alcohol
